"","id","data_format","cases","access","file_name","submitter_id","data_category","type","file_size","created_datetime","md5sum","updated_datetime","file_id","data_type","state","experimental_strategy","version","data_release","project","analysis_id","analysis_state","analysis_submitter_id","analysis_workflow_link","analysis_workflow_type","analysis_workflow_version","sample_type","is_ffpe","cases.submitter_id","sample.submitter_id"
"1","dfb4b787-e291-4970-895d-bf42368cb4d7","TSV","TCGA-KK-A8IG-01A-11R-A36G-07","open","d8ddfafb-4033-4d90-9958-46c4c0cb3d67.rna_seq.augmented_star_gene_counts.tsv","a16b3523-e7d0-44ee-bc1f-c1b9d0f2aba5","Transcriptome Profiling","gene_expression",4236545,"2021-12-13T21:48:52.068506-06:00","e0ee3c0842a82ce4343c1d26a8fcae52","2022-01-19T15:21:49.848236-06:00","dfb4b787-e291-4970-895d-bf42368cb4d7","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 40.0","TCGA-PRAD","d8b24098-2644-45d0-ae98-dc03d732b283","released","d8ddfafb-4033-4d90-9958-46c4c0cb3d67_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-KK-A8IG","TCGA-KK-A8IG-01A"
"2","82120f36-f6af-4fa3-a8f8-3f8b392ef78e","TSV","TCGA-G9-A9S7-01A-11R-A41O-07","open","52052569-db8b-49e2-bfcf-064c61704ca3.rna_seq.augmented_star_gene_counts.tsv","74ad4d2b-80e7-47ce-90c6-078edc4d14e0","Transcriptome Profiling","gene_expression",4240547,"2021-12-13T21:40:31.385702-06:00","64fb2771b1f8c10b6febe4d407055973","2022-01-19T15:21:17.806971-06:00","82120f36-f6af-4fa3-a8f8-3f8b392ef78e","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 40.0","TCGA-PRAD","22b5611e-c161-4ad5-9c33-f7ad73fe6f84","released","52052569-db8b-49e2-bfcf-064c61704ca3_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-G9-A9S7","TCGA-G9-A9S7-01A"
"3","1f4a9a3f-ceff-4065-93c6-7f59f24c8ddf","TSV","TCGA-EJ-7789-11A-01R-2118-07","open","aac3107c-0c3c-4912-92bc-dfe53fbbac9e.rna_seq.augmented_star_gene_counts.tsv","12a8a75c-efdf-4171-a4df-3d85abf8065f","Transcriptome Profiling","gene_expression",4252853,"2021-12-13T21:46:08.596399-06:00","4c011d356a22f77a023479e925c171b0","2022-01-19T15:20:40.034008-06:00","1f4a9a3f-ceff-4065-93c6-7f59f24c8ddf","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 40.0","TCGA-PRAD","e0570c57-9f85-4a03-9047-2e252e679ba1","released","aac3107c-0c3c-4912-92bc-dfe53fbbac9e_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Solid Tissue Normal",NA,"TCGA-EJ-7789","TCGA-EJ-7789-11A"
"4","650bbfae-8e03-479f-bff9-66b68305f4d7","TSV","TCGA-YL-A8SA-01A-21R-A37L-07","open","22f9e8d8-056f-46bc-b981-747b9d5c0ecb.rna_seq.augmented_star_gene_counts.tsv","960a586c-a477-4417-9531-f5c8e6793ae5","Transcriptome Profiling","gene_expression",4230392,"2021-12-13T21:37:33.788040-06:00","813a4419882fbaf4906a0f48c0451b14","2022-01-19T15:21:07.527650-06:00","650bbfae-8e03-479f-bff9-66b68305f4d7","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 40.0","TCGA-PRAD","8daf2c32-2b6b-430a-8aca-7e149619c99a","released","22f9e8d8-056f-46bc-b981-747b9d5c0ecb_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-YL-A8SA","TCGA-YL-A8SA-01A"
"5","f3133a5b-8878-4d60-8d2e-bc2580aefe05","TSV","TCGA-XK-AAJ3-01A-11R-A41O-07","open","499bc0dc-8226-4b80-80b0-f0ce8b8080e4.rna_seq.augmented_star_gene_counts.tsv","b6deae71-7cd1-45ee-94e8-ed9a61617c5e","Transcriptome Profiling","gene_expression",4236854,"2021-12-13T21:39:58.425693-06:00","8aba6885cb9dc4b1f99e4c356d3cafe6","2022-01-19T15:21:54.067658-06:00","f3133a5b-8878-4d60-8d2e-bc2580aefe05","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 40.0","TCGA-PRAD","5f51f33c-1d6a-44d9-b8d4-c024480a15b2","released","499bc0dc-8226-4b80-80b0-f0ce8b8080e4_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-XK-AAJ3","TCGA-XK-AAJ3-01A"
"6","ec6a7813-382a-40f4-add7-b51329b43b45","TSV","TCGA-EJ-7785-11A-01R-2118-07","open","a20170ce-5dd8-47e4-bdba-741cf08a1144.rna_seq.augmented_star_gene_counts.tsv","4c52c114-6613-43b2-9f46-336811bc2972","Transcriptome Profiling","gene_expression",4251918,"2021-12-13T21:45:42.136988-06:00","242d2c0dc4d1531ae3e428f1ecc1151c","2022-01-19T15:21:52.817840-06:00","ec6a7813-382a-40f4-add7-b51329b43b45","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 40.0","TCGA-PRAD","493454f6-604a-436a-a017-1281483bb75e","released","a20170ce-5dd8-47e4-bdba-741cf08a1144_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Solid Tissue Normal",NA,"TCGA-EJ-7785","TCGA-EJ-7785-11A"
"7","65e9e688-cc41-4500-a55d-33cf5840ccb8","TSV","TCGA-FC-7708-01A-11R-2118-07","open","3e1c7650-c9e6-413a-b32c-432346aea5c6.rna_seq.augmented_star_gene_counts.tsv","59f9b819-6bb4-465b-816e-59a82640e505","Transcriptome Profiling","gene_expression",4249444,"2021-12-13T21:39:25.346206-06:00","1ae9e8ca41b36eec37b4accdd96e2270","2022-01-19T15:21:08.011667-06:00","65e9e688-cc41-4500-a55d-33cf5840ccb8","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 40.0","TCGA-PRAD","e47eb341-e49c-40f5-84e4-092137bdad3b","released","3e1c7650-c9e6-413a-b32c-432346aea5c6_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-FC-7708","TCGA-FC-7708-01A"
"8","5b86bbf6-cead-4885-bd1d-cb008f9ca436","TSV","TCGA-G9-6364-01A-21R-1789-07","open","052ed70e-6cde-4206-8c50-d338e68a5b23.rna_seq.augmented_star_gene_counts.tsv","dda6a0da-41ad-45f8-a195-b507df5c0f3e","Transcriptome Profiling","gene_expression",4237473,"2021-12-13T21:35:44.770436-06:00","8ad48ea92f828b109b477f930266b75b","2022-01-19T15:21:02.944728-06:00","5b86bbf6-cead-4885-bd1d-cb008f9ca436","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 40.0","TCGA-PRAD","8bad178e-630b-48f5-8b6e-b6911f46cb16","released","052ed70e-6cde-4206-8c50-d338e68a5b23_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-G9-6364","TCGA-G9-6364-01A"
"9","94893645-c3b9-4cac-a27e-4c120742e18b","TSV","TCGA-EJ-7328-01A-31R-2118-07","open","f15f5612-a9b1-47f7-9296-707fb60f395e.rna_seq.augmented_star_gene_counts.tsv","6bca3382-db3f-4fe6-93bb-3bd964e019bd","Transcriptome Profiling","gene_expression",4246043,"2021-12-13T21:50:05.185857-06:00","122f053227afcc7ea3b633ea02eff270","2022-01-19T15:21:23.326295-06:00","94893645-c3b9-4cac-a27e-4c120742e18b","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 40.0","TCGA-PRAD","201e1ffb-17be-4151-8999-32c515d67155","released","f15f5612-a9b1-47f7-9296-707fb60f395e_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-EJ-7328","TCGA-EJ-7328-01A"
"10","9bf86a4d-8990-408f-b723-a51571f3ec3a","TSV","TCGA-HC-7750-01A-11R-2118-07","open","5316c66f-3cc5-4273-bc01-7825ac5bcb87.rna_seq.augmented_star_gene_counts.tsv","f15f903a-6236-499e-abd5-1d4fe832c264","Transcriptome Profiling","gene_expression",4226264,"2021-12-13T21:40:37.173804-06:00","a582b72be56f954b13f83a641d089b6a","2022-01-19T15:21:26.477836-06:00","9bf86a4d-8990-408f-b723-a51571f3ec3a","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 40.0","TCGA-PRAD","f592cd20-29f8-4c68-808c-82e618116efc","released","5316c66f-3cc5-4273-bc01-7825ac5bcb87_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-HC-7750","TCGA-HC-7750-01A"
